Test,Endpoint,Method,Start_Time,End_Time,Total_Seconds
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/tasks/declare-mgmt-authority/c09b75ab-a830-48cf-9477-5cd7c3fe2785,POST,57:55.3,00:03.7,02:08.4
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/policy-files/upload/asm_policy1.xml,POST,00:07.7,00:15.3,00:07.6
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/policy-files/upload/asm_policy2.xml,POST,00:15.3,00:22.5,00:07.2
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/working-config/policies,GET,00:22.5,00:22.7,00:00.2
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/working-config/virtual-servers,GET,00:22.7,00:22.8,00:00.1
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/working-config/virtual-servers/0a323be9-a21a-36e7-a9e5-4a81217013b9,PATCH,00:24.8,00:24.8,00:00.1
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/working-config/virtual-servers/0a323be9-a21a-36e7-a9e5-4a81217013b9,PATCH,00:24.8,00:24.9,00:00.1
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/policy-files/download/53f5ba80-d924-36e0-85d8-ff8b91208a50,GET,00:24.9,00:27.0,00:02.1
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/working-config/virtual-servers,GET,00:27.1,00:27.2,00:00.1
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/working-config/virtual-servers/0a323be9-a21a-36e7-a9e5-4a81217013b9,PATCH,00:27.2,00:27.2,00:00.1
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/working-config/virtual-servers/0a323be9-a21a-36e7-a9e5-4a81217013b9,DELETE,00:27.2,00:27.3,00:00.1
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/security-shared/working-config/virtuals,GET,00:34.5,00:34.5,00:00.1
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/security-shared/working-config/virtuals/0bb2288b-38fa-38e3-ab6e-7af20c8e1f3d,DELETE,00:34.5,00:34.6,00:00.1
firestone4_5_1.functional.standalone.asm.api.asm.Tests.test_01_asm_policy,/mgmt/cm/asm/tasks/declare-mgmt-authority/7662d79c-7850-4e50-8291-828308f891c2,POST,00:34.9,02:43.4,02:08.5
